id,estado_id,clave,descripcion,created_at,updated_at,deleted_at
1,7,001,Acacoyagua,NULL,NULL,NULL
2,7,002,Acala,NULL,NULL,NULL
3,7,003,Acapetahua,NULL,NULL,NULL
4,7,004,Altamirano,NULL,NULL,NULL
5,7,005,Amatán,NULL,NULL,NULL
6,7,006,"Amatenango de la Frontera",NULL,NULL,NULL
7,7,007,"Amatenango del Valle",NULL,NULL,NULL
8,7,008,"Angel Albino Corzo",NULL,NULL,NULL
9,7,009,Arriaga,NULL,NULL,NULL
10,7,010,"Bejucal de Ocampo",NULL,NULL,NULL
11,7,011,"Bella Vista",NULL,NULL,NULL
12,7,012,Berriozábal,NULL,NULL,NULL
13,7,013,Bochil,NULL,NULL,NULL
14,7,014,"El Bosque",NULL,NULL,NULL
15,7,015,Cacahoatán,NULL,NULL,NULL
16,7,016,Catazajá,NULL,NULL,NULL
17,7,017,Cintalapa,NULL,NULL,NULL
18,7,018,Coapilla,NULL,NULL,NULL
19,7,019,"Comitán de Domínguez",NULL,NULL,NULL
20,7,020,"La Concordia",NULL,NULL,NULL
21,7,021,Copainalá,NULL,NULL,NULL
22,7,022,Chalchihuitán,NULL,NULL,NULL
23,7,023,Chamula,NULL,NULL,NULL
24,7,024,Chanal,NULL,NULL,NULL
25,7,025,Chapultenango,NULL,NULL,NULL
26,7,026,Chenalhó,NULL,NULL,NULL
27,7,027,"Chiapa de Corzo",NULL,NULL,NULL
28,7,028,Chiapilla,NULL,NULL,NULL
29,7,029,Chicoasén,NULL,NULL,NULL
30,7,030,Chicomuselo,NULL,NULL,NULL
31,7,031,Chilón,NULL,NULL,NULL
32,7,032,Escuintla,NULL,NULL,NULL
33,7,033,"Francisco León",NULL,NULL,NULL
34,7,034,"Frontera Comalapa",NULL,NULL,NULL
35,7,035,"Frontera Hidalgo",NULL,NULL,NULL
36,7,036,"La Grandeza",NULL,NULL,NULL
37,7,037,Huehuetán,NULL,NULL,NULL
38,7,038,Huixtán,NULL,NULL,NULL
39,7,039,Huitiupán,NULL,NULL,NULL
40,7,040,Huixtla,NULL,NULL,NULL
41,7,041,"La Independencia",NULL,NULL,NULL
42,7,042,Ixhuatán,NULL,NULL,NULL
43,7,043,Ixtacomitán,NULL,NULL,NULL
44,7,044,Ixtapa,NULL,NULL,NULL
45,7,045,Ixtapangajoya,NULL,NULL,NULL
46,7,046,Jiquipilas,NULL,NULL,NULL
47,7,047,Jitotol,NULL,NULL,NULL
48,7,048,Juárez,NULL,NULL,NULL
49,7,049,Larráinzar,NULL,NULL,NULL
50,7,050,"La Libertad",NULL,NULL,NULL
51,7,051,Mapastepec,NULL,NULL,NULL
52,7,052,"Las Margaritas",NULL,NULL,NULL
53,7,053,"Mazapa de Madero",NULL,NULL,NULL
54,7,054,Mazatán,NULL,NULL,NULL
55,7,055,Metapa,NULL,NULL,NULL
56,7,056,Mitontic,NULL,NULL,NULL
57,7,057,Motozintla,NULL,NULL,NULL
58,7,058,"Nicolás Ruíz",NULL,NULL,NULL
59,7,059,Ocosingo,NULL,NULL,NULL
60,7,060,Ocotepec,NULL,NULL,NULL
61,7,061,"Ocozocoautla de Espinosa",NULL,NULL,NULL
62,7,062,Ostuacán,NULL,NULL,NULL
63,7,063,Osumacinta,NULL,NULL,NULL
64,7,064,Oxchuc,NULL,NULL,NULL
65,7,065,Palenque,NULL,NULL,NULL
66,7,066,Pantelhó,NULL,NULL,NULL
67,7,067,Pantepec,NULL,NULL,NULL
68,7,068,Pichucalco,NULL,NULL,NULL
69,7,069,Pijijiapan,NULL,NULL,NULL
70,7,070,"El Porvenir",NULL,NULL,NULL
71,7,071,"Villa Comaltitlán",NULL,NULL,NULL
72,7,072,"Pueblo Nuevo Solistahuacán",NULL,NULL,NULL
73,7,073,Rayón,NULL,NULL,NULL
74,7,074,Reforma,NULL,NULL,NULL
75,7,075,"Las Rosas",NULL,NULL,NULL
76,7,076,Sabanilla,NULL,NULL,NULL
77,7,077,"Salto de Agua",NULL,NULL,NULL
78,7,078,"San Cristóbal de las Casas",NULL,NULL,NULL
79,7,079,"San Fernando",NULL,NULL,NULL
80,7,080,Siltepec,NULL,NULL,NULL
81,7,081,Simojovel,NULL,NULL,NULL
82,7,082,Sitalá,NULL,NULL,NULL
83,7,083,Socoltenango,NULL,NULL,NULL
84,7,084,Solosuchiapa,NULL,NULL,NULL
85,7,085,Soyaló,NULL,NULL,NULL
86,7,086,Suchiapa,NULL,NULL,NULL
87,7,087,Suchiate,NULL,NULL,NULL
88,7,088,Sunuapa,NULL,NULL,NULL
89,7,089,Tapachula,NULL,NULL,NULL
90,7,090,Tapalapa,NULL,NULL,NULL
91,7,091,Tapilula,NULL,NULL,NULL
92,7,092,Tecpatán,NULL,NULL,NULL
93,7,093,Tenejapa,NULL,NULL,NULL
94,7,094,Teopisca,NULL,NULL,NULL
95,7,096,Tila,NULL,NULL,NULL
96,7,097,Tonalá,NULL,NULL,NULL
97,7,098,Totolapa,NULL,NULL,NULL
98,7,099,"La Trinitaria",NULL,NULL,NULL
99,7,100,Tumbalá,NULL,NULL,NULL
100,7,101,"Tuxtla Gutiérrez",NULL,NULL,NULL
101,7,102,"Tuxtla Chico",NULL,NULL,NULL
102,7,103,Tuzantán,NULL,NULL,NULL
103,7,104,Tzimol,NULL,NULL,NULL
104,7,105,"Unión Juárez",NULL,NULL,NULL
105,7,106,"Venustiano Carranza",NULL,NULL,NULL
106,7,107,"Villa Corzo",NULL,NULL,NULL
107,7,108,Villaflores,NULL,NULL,NULL
108,7,109,Yajalón,NULL,NULL,NULL
109,7,110,"San Lucas",NULL,NULL,NULL
110,7,111,Zinacantán,NULL,NULL,NULL
111,7,112,"San Juan Cancuc",NULL,NULL,NULL
112,7,113,Aldama,NULL,NULL,NULL
113,7,114,"Benemérito de las Américas",NULL,NULL,NULL
114,7,115,"Maravilla Tenejapa",NULL,NULL,NULL
115,7,116,"Marqués de Comillas",NULL,NULL,NULL
116,7,117,"Montecristo de Guerrero",NULL,NULL,NULL
117,7,118,"San Andrés Duraznal",NULL,NULL,NULL
118,7,119,"Santiago el Pinar",NULL,NULL,NULL
